Category,Location,Investors
Personalized Wish List creator app,Noida,Turning Ideas
Music Streaming mobile app,Mumbai,Micromax Informatics Ltd
Raw Meat & Ready to eat food etailer,Gurgaon,Undisclosed Investors
Gym Discovery platform,Mumbai,"Dewang Neralla,Roopak Taneja, Manisha Gupta"
Online Purchase rewards app,Bangalore,"Fireside Ventures, Mumbai Angels MAPE Advisory Group."
Home rental platform,Gurgaon,"Devesh Rai G, Rajesh Aggarwal, Amitpal Bhutani"
Crowdsourced Delivery platform,New Delhi,Vijai Laxmi
Real Estate Insights platform,New Delhi,Manpreet Singh
Structural & Civil Engg Service Automation,Mumbai,Parampara Capital
Startup Funding Marketplace,Bangalore,"Accel Partners, Anupam Mittal & other marquee investors"
Payments Solution platform,Mumbai,"Sequoia Capital, Ascent Capital, eContext Asia, Beenos Asia"
Travel Destination Discovery platform,New Delhi,Aarti Group
Order Fulfillment SAAS platform,Bangalore,"Dr. Aniruddha Malpani Manish Gupta, M&S Partners & others"
Last Mile Delivery Service,Bangalore,"Delhivery, Sands Capital and Accel Partners"
Healthcare IT Solutions & services,Chennai,"Qualcomm Venture, Norwest Venture Partners"
Gourmet Meals Delivery,Mumbai,Springboard Ventures
Healthy Meals Food delivery platform,Bangalore,Indian Angel Network
Real Estate Mobile CRM,New York/ India,"Sierra Ventures, Cota Capital, Vegas Tech Fund"
Micro-Brewery,Mumbai,"Arihant Patni, RAAY Global Investments"
Home Made Food Marketplace,Gurgaon,"Alok Bajpai, Rajnish Kumar, Amit Dey"
residential rental management platform,Bangalore,"Atul Jalan, Shrikanth & Bharath"
Personalized Stock Intelligence Platform,Bangalore,"R Natarajan, Mohan Alexander"
Personal Diagnostic Mobile App,Mumbai,Group of Angel investors
Online food ordering & Delivery service,Gurgaon,Group of Angel investors
Online food ordering & Delivery service,Gurgaon,"Mumbai Angels, Mayank Bhangdia, Kae Capital"
Hotel Aggregator & booking platform,New Delhi,ID Enablers Pvt Ltd
Online Logistics Platform,Bangalore,Delhivery
Online Student & Campus Social Networking platform,Ahmedabad,Oswal Techno Ventures LLP
Professionals & Project Search Marketplace,New Delhi,undisclosed private investors
Online Pharmacy,Chennai,"OrbiMed, Pradip Dadha Group"
Online Payment Gateway,Jaipur,"Tiger Global Management, Matrix Partners"
Psychometric Test Online Software,Pune,Ventureworks India
Location based Nightlife recommendation\\xc2\\xa0 Platform,Mumbai,Unnamed investor
Professional Health Services Platform,Mumbai,India Quotient
Hyperlocal Logistics Service,Bangalore,"Sequoia Capital, Nexus Venture Partners"
Online user engagement platform,Gurgaon,"Redcliffe Capital, YourNest Angel Fund"
Asset Financing platform,Mumbai,"ah! Ventures, 500 Startups & Other HNIs"
Virtual Reality activity based learning platform,New Delhi,S Chand and Co Pvt Ltd
Online Grocery Store,Bangalore,Jupiter Capital
Investment management platform,Mumbai,Tracxn Syndicate
Industrial Toons Marketplace,Noida,"Accel Partner, Jungle Ventures"
Public Commute helper App,Mumbai,"Amit Singhal, PK Gulati & others"
Artificial Intelligence Ecommerce Chatbot,Bangalore,Unilazer Ventures
Truck Aggregator & Logistics service,Bangalore,Suresh Vaswani
Ridesharing Mobile app,Mumbai,"Rajesh Bhatia, Dheeraj Mehta & Others"
Food Discovery & Delivery Mobile app,Mumbai,"Sequoia Capital, Matrix Partners"
Competitive exam learning platform,Mumbai,InnoVen Capital
Document Digitization platform,Gurgaon,GREX
proximity marketing & Mobile Advertising platform,Mumbai,Puneet Bhatia & others
Autorickshaw Aggregator & Booking platform,Chandigarh,Paytm
FinTech Startup Incubation platform,Mumbai,Tania Johny Palathinkal
Payment Services platform,Chandigarh,Flipkart
Personalized Styling platform,Mumbai,Group of HNI investors
Luxury goods\\xc2\\xa0 Shopping Platform,Gurgaon,Reliance Capital
Food Delivery Platform,Mumbai,Ratan Tata
Online Lingerie Marketplace,Bangalore,"Zodius Technology Fund, Khazanah Nasional Berhad"
Cloud software solutions,New Delhi,"Warburg Pincus, Sequoia Capital, Norwest Venture Partners"
Job Search Platform,Bangalore,Purvi Capital
Doctor consultancy Mobile App,Mumbai,India Quotient & other investors
Small Business Financing (NBFC),Bangalore,"WestBridge Capital, Omidyar Network, Elevar Equity, Saama Capital,\\xc2\\xa0 Lok Capital"
Beauty & Wellness Services Marketplace,Mumbai,CMYK Health Boutique Pvt Ltd & Other individual investors
Online Movie Review Platform,Mumbai,R M Picture Company Pvt. Ltd.
ECommerce Brands\\xe2\\x80\\x99 Full Service Agency,Mumbai,Ashish Jhalani
Cloud-based Hotel Booking Platform,Bangalore,Karanpal Singh
Community Driven News/Views Platform,New Delhi,"Raghav Bahl, Ritu Kapur"
Study Material Marketplace,New Delhi,"Nalin Jain, Shomil Pant, Dinesh Kundu & others"
Restaurant Ratings & Reviews platform,Gurgaon,"Temasek, Vy Capital"
Dairy Based Product Manufacturer,Bhopal,Acumen Fund
Government Test Preparation platform,Bangalore,Blume Ventures
Smart Report Cards for Schools,Chennai,India Educational Investment Fund
Teacher empowerment platform,Bangalore,India Educational Investment Fund
Multilingual Test Preparation Platform,Gurgaon,"500 Startups, TV Mohandas Pai, Tandem Capital, Vikram Chachra, Aloke Bajpai"
Industrial Tools Marketplace,New Delhi,"Kalaari Capital, SAIF Partners, Beenextan investment fund"
Non Profit Organization to alleviate poverty,Bangalore,"Nanadan Nilekani, InMobi, Paytm"
Gym & Fitness Studios Subscription platform,New Delhi,Green House Ventures
pre-used luxury item Marketplace,Mumbai,"Ankush Nijhawan, Manish Dhingra, Gaurav Bhatnagar"
pre-used apparel shopping mobile app,Bangalore,
Home Design & D\\xc3\\xa9cor platform,New Delhi,Subodh Gupta
Used Vehicles Marketplace,Mumbai,Eight Road Ventures
Online Bus & Cab ticketing platform,Hyderabad,Ash Bhardwaj
Mobile App testing platform,Hyderabad,Bessemer Venture Partners
Hyperlocal Delivery Services,Gurgaon,Eight Roads Ventures
Early Cancer Detection Solutions,US/India,"Aarin Capital, Unitus Seed Fund"
Cab rental Mobile app,Bangalore,"Falcon Edge Capital, NY based Hedge Fund, Tiger Global, Softbank"
Online Insurance Distribution Platform,Mumbai,Cataraman Ventures
Mobile Marketing Automation Platform,Bangalore,"Helion Venture Partners, Exfinity Ventures"
Prepaid Mobile Bill Manager App,Bangalore,Nandan Nilekani
Chain of Tea Caf\\xc3\\xa9\\xe2\\x80\\x99s,Mumbai,"Anil Matai, Vikram Tandon, Shyam Sundar R & others"
Branded Budget Hotel Marketplace,Noida,Payal Syal
Home Fitting & Fixtures Marketplace,Bangalore,Sandeep Dama & Others
Food Subscription platform,Bangalore,Eight Roads Ventures
Wedding Planning Platform,Gurgaon,Indian Angel Network
B2B Mobile Auction Marketplace,Mumbai,Oliphans Capital
ECommerce Data Analytics Platform,Bangalore,Kalaari Capital
Designer Merchandize Marketplace,Mumbai,Applyifi
Private label Fashion eTailer,Gurgaon,"Khazanah Nasional Berhad, Helion Venture Partners"
Online Food ordering & delivery,Gurgaon,High Networth Individuals (No details)
Real Estate Broker Platform App,New Delhi,"Sachin Bansal & Binny Bansal, Sol Primero, Outbox Ventures, Sangram Singh"
Online Health & Wellness platform,Bangalore,"Accel Partners, Subrata Mitra, Larry Braitman, Venk Krishna"
Internet of Things platform,New Delhi,Undisclosed
Diagnostic Labs aggregator platform,Gurgaon,Multiple investors
Hyperlocal Delivery Platform,Bangalore,"Aprameya Radhakrishna, Naman Sarawagi, Afsal Salu,"
Home Medical Care Services,Bangalore,"Accel Partners, International Finance Corporation (IFC), Qualcomm Ventures, Ventureast"
Real-Time stock data platform,Bangalore,Rainmatter
Food discovery & table booking app,Mumbai,"Anand Mahindra, Uday Punj, Ashish Hemrajani, Sanjeev Mehra"
coupons and cashback aggregator app,Mumbai,500 Startups
Financial Products lead generation platform,Mumbai,Prakhar Bumb
Sustainable Agri-inputs Firm,Bangalore,"Unitus Seed Fund, Rianta Capital, R Ramaraj, Sunil Edwards"
Financial Services Portal,Mumbai,"Kalaari Capital, YourNest Angel Fund"
Pre-owned games Marketplace,New Delhi,Lead Angels
Content-based Subscription eCommerce platform,New Delhi,"Karan Bajwa, Amanpreet Bajaj, Manish Vij"
"virtual reality, 3d simulation and stereoscopic products",Bangalore,Swarnim Multiventures
Online Interior Designing platform,Bangalore,Bhavdeep Reddy
End-to-end Logistics platform,Mumbai,Paytm
Private Label Apparel sales,New Delhi,Asha Jadeja Motwani & Others
Healthcare Consulting platform,Gurgaon,Rajat Malhotra
Stock Market Portal,Bangalore,"Sharad Sharma, Vijay Anand, Mohandas Pai. Pallav Nadhani, Singapore Angels Network & others"
Cross-device retargeting platform,Gurgaon / SFO,M&S Partners
Digital & Physical Publishing platform,New Delhi,"William Bissell, Neeraj Aggarwal, Nandan Nilekani"
Food Delivery Platform,New Delhi,"Phanindra Sama, Anupam Mittal, Vijay Shekhar Sharma, Vishal Gondal, Sateesh Andara & others"
Data Driven Publishing platform,Bangalore,Raghav Bahl
Employee OnBoarding & Orientation platform,Noida,"500 Startups, Smile Multimedia, Kunal Bahl, Rohit Bansal, Girish Matrubootham"
Solar Power Solutions company,Hyderabad,"Infuse Ventures, The Chennai Angels"
Online Meat Ordering platform,Bangalore,"Kanwaljit Singh, TV Mohandas Pai"
online meal-booking platform for train travelers,New Delhi,Astarc Ventures & Others
hyperlocal delivery platform,New Delhi,"500 Startups, Mato Peric & Others"
Cab Booking app platform,Bangalore,Didi Kuaidi
E-Commerce & M-Commerce platform,New Delhi,"Alibaba Group, Ant Financial"
Mobile Advertising platform,Bangalore,Tennenbaum Capital Partners & Others
Hyperlocal Grocery Delivery,Gurgaon,"Sequoia India, SAIF Partners."
Ecommerce Product recommendation platform,Pune,Mayank Singhal and others
Activity Based Social Network,Chennai,The Chennai Angels
Fashion Discovery platform,New Delhi,Uniqorn Ventures
Consumer lending marketplace,Bangalore,"Zishaan Hayath, Rahul Khanna & Others"
Big Data Management Platform,Bangalore / USA,"Nexus Venture Partners, Knoll Ventures and others"
Budget Accommodation Platform,Noida,Jungle Ventures
Local Mobile OS,Gurgaon,"Kunal Bahl, Rohit Bansal, Pranay Chulet, Naveen Tiwari, Amit Gupta, Mayank Singhal"
Digital Signal processing platform,Bangalore,"ah! Ventures, Viktor Koenig PE Fund, Mantra Ventures"
Ecommerce Marketplace,New Delhi,"Alibaba, Foxconn, Softbank"
Restaurant Discount app,Pune,Mohandas Pai & others
Tech-enabled learning,New Delhi,Alok Mittal
ECommerce Logistics provider,New Delhi,Aavishkaar
on-demand home beauty and wellness portal,Mumbai,VentureNursery
Self Driven Car rental,Mumbai,"Alok Mittal, Zeeshan Hayat, Niraj Singh, Nikunj Jain, Anirudh Damani, Punit Goyal"
Budget Hotel accommodation brand,New Delhi,"SoftBank Group, Greenoaks Capital, Sequoia Capital,\\xc2\\xa0 Lightspeed India"
Energy & Environment Online Marketplace,Bangalore,Infuse Ventures
User Engagment & Analytics platform,Mumbai,"Sequoia Capital, Accel Partners"
On-Demand Delivery Logistics,New Delhi,"Orios Venture Partners, Zishaan Hayath"
fund raising platform for startups,Pune,"Kunal Bajaj, Chandru Badrinarayanan"
Logistics Tech Platform,Bangalore,"Rebright Partners, Ankush Nijhawan, Gaurav Bhatnagar, Manish Dhingra"
Online budget hotel chain,New Delhi,"Tiger Global Management, Orios Venture Partners"
Hyperlocal Handyman services,Mumbai,"Helion Venture Partners, Kalaari Capital"
hotel booking app,Noida,"BedRock Ventures, Rajesh Sawhney, Shailesh Singh"
Rental Accomodation finder,New Delhi,"Sachin Bhatia, Rajesh Sawhney"
Tech Platform for property brokers,Mumbai,"Ramesh Jogani, Shailesh Viswanathan, Jay Srinivasan"
Luxury Apparel rental,Bangalore,Tracxn Labs
App security\\xc2\\xa0 testing platform,Mumbai,"Ravi Gururaj, Gaurav Sharma, Viswanath Ramachandran, RippleWave"
Doctor Appointment booking app,Bangalore,"Sofina, Google Capital, Altimeter Capital, Sequoia Capital Global Equities, Yuri Milner, Sequoia Capital, Matrix Partners"
anonymous bulletin board app,New Delhi,"Sanjay Sethi, Ravi Jaipuria & others"
Travel community platform,New Delhi,"CCube Angels, Frontline Strategy"
Crowd funding platform,Mumbai,"Chennai Angels, Calcutta Angels, ah! Ventures, Intellecap Impact Investment Network, Indus Age Partners, Singapore Angel Network, India Internet Fund, LetsVenture"
Mobile based PoS solution,Bangalore,"Horizons Ventures, Capricorn Investment Group, Social+Capital, Helion Advisors, Berggruen Holdings"
Car & Bike ecommerce platform,Mumbai,"Inflexionpoint, Pramod Bhasin, Sixth Sense Ventures, Vindi Banga, Hiro Mashita"
Fast food Chain Franchisee,Gurgaon,YouWeCan Ventures
Loyalty Programs & Reward Points,Mumbai,"Wealth First, Ashneer Grover, Atul Phadnis"
Energy saving solutions provider,Mumbai,"responsAbility Investments, Infuse Ventures"
Self-Storage Spaces,Noida,Bedrock Ventures
Grocery retail Mobile app,New Delhi,Best Foodworks
Taxi Rental platform,Gurgaon,"Nihon Kotsu,"
ecommerce,New Delhi,"Neha Vats, Gaurav Vats"
Machine Learning Platform,New Delhi/ Houston,"B M Gupta, Vinod Singhal"
mobile social network,New Delhi,QPrize from Qualcomm Ventures
Hyper-Local Ecommerce,New Delhi,Sequoia Capital
Online printing marketplace,Chennai,"Girish Mathrubootham, Phanindra Sama, Vikram Chachra, Others from LetsVenture"
mobile payment software platform,Bangalore,Reliance Capital Venture
Automated Storage & Warehousing Solution,Gurgaon,Tiger Global Management
Home Design & D\\xc3\\xa9cor solutions,Bangalore,"Helion Ventures, Jungle Ventures & Bessemer Venture Partners"
Quick Service Restaurant Chain,Kolkata,Indian Angel Network
Subscription based Online Grocery platform,Pune,Ajeet Khurana & Others
engineering services company,Mumbai,Zodius Technology Fund
Business and IT consulting,New Delhi / US,ChrysCapital
Credit Card Fraud protection solutions,Mumbai,"Sequoia Capital, Lightspeed Ventures"
Online & mobile Grocery store,Bangalore,Bessemer Venture Partners
Career Community for Women,Noida,"Quintillion Media, 500 Startups"
Mutual Fund Investing platform,Bangalore,"Accel Partners, Deep Kalra, Rajesh Magow, Mohit Gupta, Shamik Sharma"
Ecommerce Marketing Software Platform,Noida,"Amit Ranjan, Vijay Shekhar Sharma, Kunal Bahl, Girish Mathrubootham &\\xc2\\xa0 Group of other Angel investors"
Financial Inclusion platform,Chennai,"Accion, LeapFrog Investments, Lok Capital"
Digital Marketing automation solution,Mumbai,"LetsVenture, Mumbai Angels"
Mobile Commerce for Farmers,Pune,IDG Ventures
Picture based Social App,Mumbai,Jitendra Gupta & others
Logistics service platform,Ahmedabad,"Gujarat based angel investors, MMY co-Founder"
On-Demand Beauty Services,New Delhi,Group of angel investors
Exam Preparation Platform,New Delhi,Nalin Jain & other angel investors
Startup Focused Online Publisher,Mumbai,"Ratan Tata, Vani Kola, T V Mohandas Pai, Karthee Madasamay"
Waste Management Solutions,Mumbai,"Intellecap Impact Investment Network, family office fund"
App based Fitness coaching,Bangalore,Existing & New Investors
On demand cleaning & fixing services,Mumbai,VentureNursery
Beauty & Lifestyle platform,New Delhi,Rohit Goel
on-demand delivery service,Gurgaon,"Kunal Bahl, Rohit Bansal, Zishaan Hayath, Prashant Malik"
Car & Bike ecommerce platform,New Delhi,One97 Communications
Fashion Discovery platform,Gurgaon,Tiger Global
Data Analytics Platform,Mumbai,"New Enterprise Associates, Orios Venture Partners"
Deep Learning Cloud Algorithms,Chennai,"NEA, Milliways Ventures, Naya Ventures"
Location based engagement & rewards platform,Gurgaon,"Rohit Bhatia, Sunil Nikhar, Vaibhav Domkundwar, Siddharth Nautiyal"
Online Identity Verification Services platform,Mumbai,"NEA, Blume Ventures & others"
Corporate Wellness App,Bangalore,RoundGlass Partners
Fashion Search & Review Platform,Kolkata,Umesh Yadav
"Hyperlocal Maintenance, Repair & Cleaning services",Mumbai,Unilazer Ventures
pre-owned Luxury online apparel seller,Mumbai,"Manish Dhingra, Ankush Nijhawa, Gaurav Bhatnagar"
Online Furniture Marketplace,Bangalore,AskMe
Online Diagnostic Tests Marketplace,New Delhi,Group of Angel Investors
Online marketplace for Photographers,Hyderabad,Indian Angel Network
Visual Blogging platform,New Delhi,"ah! Ventures, Times Internet, Rudy Gopalakrishnan"
Job Search Platform,Bangalore,"Orios Venture Partners, Amit Ranjan & others"
Food Customer analytics platform,Ahmedabad,The 1947
Professional Service Appointment booking service,Mumbai,Ajmera Group of Companies
Scientific Horoscope Online Assistance platform,Kolkata,Prime Capital Markets Ltd
Tech enabled AC bus service,Mumbai,"India Quotient, Anupam Mittal & others"
On-Demand App based Professional service provider,Bangalore,"GrowX ventures, Tracxn Labs, Powai Lake Ventures, and Sahil Barua"
Restaurant Reservation Platform,Gurgaon,"DSG Consumer Partners, Saama Capital"
Cross-channel CRM platform,Mumbai,"Norwest Venture Partners, Nexus Venture Partners, Helion Venture Partners, Draper Fisher Jurvetson, Peepul Capital"
Professional Custom creators Marketplace,Pune,Group of Angel Investors
on-Demand Washing & Dry-Cleaning,New Delhi,GHV Accelerator
On-Demand Beauty Service,Mumbai,"India Quotient, LetsVenture investors, Lead Angels"
solar products and services marketplace,Ahmedabad,Infuse Ventures
Online Food Community Platform,Gurgaon,Undisclosed Investor
Private Cloud Networks SAAS platform,Bangalore,Group of Investors
Education Marketplace,Kolkata,Ravi Agarwal
Cloud Based Hotel Sales Platform,New Delhi,Ibibo Group
online recipe sharing platform,New Delhi,"Growx Ventures, Manish Singhal"
Beauty & Lifestyle Mobile Marketplace,Bangalore,Rocket Internet
QSR Restaurant Chain,Pune,Equentia Natural Resources
Digital Media publishing platform,Gurgaon,"Li Tao, Li Jian, Draphant Consultants, Nitin Garg, Saurabh Jain, Mohit Agarwal"
Online Coffee Delivery platform,Bangalore,"Manish Singhal, P39 Capital & Others"
Language Localization Cloud platform,Bangalore,"Aspada Investment Advisors, Qualcomm Ventures"
Big Data & predictive Analysis Platform,Mumbai,"Ratan Tata, Nikhil Vora & others"
Online Logistics Platform,Bangalore,"Delhivery, Tracxn Labs"
Business IT Intelligence Services,Mumbai,Omnivore Partners
CRM / Analytics platform,Chennai,"The Chennai Angels, IDG Ventures India"
Hyperlocal Electronics repair Service,Mumbai,"Bessemer Ventures, Kae Capital"
Ed-Tech Platform,New Delhi,"ah! Ventures, Vivek Joshi, Mohit Satyanand & others"
Cab rental Mobile app,Bangalore,Ratan Tata
IT infrastructure & Data Center services,Bangalore,"IFC, Axon Partners, Intel Capital"
Online Financial Services,Chennai,"Amazon, Fidelity Growth Partners, Mousse Partners"
Used Car Marketplace,Bangalore,SAIF Partners
Internet of Things platform,Gurgaon,"Rajan Anandan, Kunal Bahl, Rohit Bansal, Rahul Khanna"
Language Learning App,Jaipur,Tiger Global
Mobile Fitness Marketplace,Mumbai,Vijay Shekhar Sharma
Custom Merchandize platform,Ahmedabad,"Gokul Jaykrishna, Brand Capital"
P2P Pre-owned goods marketplace,Bangalore,"Rebright Partners, Tracxn Labs, Aneesh Reddy"
Custom Furniture Marketplace,Mumbai,"Powai Lake Ventures, Ajeet Khurana & others"
Online Tailoring Services,Bangalore,Group of angel investors
Rail Ticket Confirmation predictor,Bangalore,Pravin Agarwala & others
Ethnic Beverages manufacturer,Gurgaon,"Sofina, Hillhouse Capital"
Hyperlocal Goods marketplace,Nagpur,Atulya Mittal
Budget Accommodation aggregator,Gurgaon,"Mangroves Capital Partners, Vikas Saxena"
Real Estate Rating & Analysis,New Delhi,DMG information Asia Pacific
Food Delivery platform,Bangalore,"Powai Lake Ventures, Globeinvestor, Abhishekh Goyal"
Financial Tech,New Delhi,"DSG Consumer Partners, Siddharth Parekh"
Food Discovery App,Pune,Jaydeep Barman
Music Streaming App,Mumbai,"Tiger Global Management, Bertelsmann India, Steadview Capital, Liberty Media, Mousse Partners, Quilvest"
Big Data & Analytics platform,Mumbai / Global,"Sunrise Capital GmBH, Big Data Investments B.V"
Big Data & Analytics platform,India / US,"Helion Venture Partners,Amarpreet Sawhney, Deshpande Foundation, Fred Khosravi, Richard S. Braddock"
Coupon Aggregator Platform,Kanpur,Not Disclosed
Electric Scooter manufacturer,Coimbatore,Ratan Tata
Online Food-Tech Platform,Mumbai,Mirah Hospitality
Celebrity Fashion Brand,Bangalore,Accel Partners
Online Finance lending platform,Ahmedabad,"Saama Capital, Mayfield, Ashvin Chadha, Shailesh Mehta"
Healthcare Mobile App,New Delhi,"Tiger Global Management, Ratan Tata, Nexus Venture Partners"
Self-driven vehicle rental,Bangalore,"Sequoia Capital, Empire Angels, NGP"
\\xc2\\xa0News Aggregator mobile app,\\xc2\\xa0Noida,\\xc2\\xa0Tiger Global
\\xc2\\xa0Online Jewellery Store,\\xc2\\xa0Bangalore,"\\xc2\\xa0IvyCap Ventures, Accel Partners, Dragoneer Investment Group"
\\xc2\\xa0Fashion Info Aggregator App,\\xc2\\xa0Gurgaon,"\\xc2\\xa0 Sandeep Aggarwal, Teruhide Sato"
\\xc2\\xa0Online Study Notes Marketplace,\\xc2\\xa0New Delhi,"\\xc2\\xa0Rajeev Saraf, Arvind Jha, R. Satya Narayanan"
\\xc2\\xa0Warranty Programs Service Administration,\\xc2\\xa0New Delhi,\\xc2\\xa0Indian Angel Network
\\xc2\\xa0Pre-School Chain,\\xc2\\xa0Gurgaon,"\\xc2\\xa0LetsVenture, Kumar Bansal, Kshitij Jain"
\\xc2\\xa0Premium Loyalty Rewards Point Management,\\xc2\\xa0Mumbai,\\xc2\\xa0IndianIdeas.com
\\xc2\\xa0Contact Center Software Platform,\\xc2\\xa0Gurgaon,\\xc2\\xa0Forum Synergies PE Fund
\\xc2\\xa0Casual Dining restaurant Chain,\\xc2\\xa0New Delhi,\\xc2\\xa0Goldman Sachs
\\xc2\\xa0Online Grocery Delivery,\\xc2\\xa0Gurgaon,\\xc2\\xa0Palaash Ventures
Online comparison engine,Hyderabad,"Accel Partners, Helion Venture Partners"
Residential Rental management platform,Bangalore,Atul Jalan
Physical Storage warehouses,Mumbai,"Ritesh Veera, Singapore Angel Network, Orios Venture Partners,"
Tech Recruitment platform,Bangalore,HR Technology fund
Bike Rental Platform,Bangalore,Undisclosed
Tech enabled logistics platform,Mumbai,Tamarind Family Private Trust
Budget Hotel Accommodation,Gurgaon,"Softbank, Sequoia Capital"
Restaurant customer engagement platform,Pune,Jungle Ventures
Live video streaming app,New Delhi,"Anupam Mittal, Anand Chandrasekaran, Uday Shankar, Chetan Bhagat"
Hyper local logistics platform,Bangalore,"Sequoia Capital, Nexus Venture Partners, Blume Ventures"
Crowd Funding Platform,Mumbai,"Pradyumna Dalmia, Sudhir Rao & Others"
F&B sector Mobile Payment platform,Mumbai,Snow Leopard Technology Ventures
Industrial Supplies B2B ecommerce,Mumbai,"Sumit Gandhi, Manish Gandhi"
Online budget hotel chain,New Delhi,"Tiger Global, Orios Venture Partners."
Payment Solutions platform,Bangalore,"Catamaran Ventures, New India Investment Corporation"
Online Hiring Platform,Bangalore,"Tracxn Labs, Deepak Singh"
Organic Food ecommerce,New Delhi,"Mumbai Angels, Vriddhi Fund, Others"
Big Data & Analytics platform,Bangalore,Exfinity Venture Partners
Fine Dining Restaurant Chain,Mumbai,India Value Fund Advisors
Luxury Rental Homes,Bangalore,"Flipkart, Tiger Global"
Mobile Point of Sale payment solution,,"Falcon Edge Capital, Meru Capital, Ola, Matrix Partners, DSG Consumer Partners, Axis Bank"
Online Grocers,Ahmedabad,Jayant Bokadia
Casual Dating App,Mumbai,IDG Ventures India
Clinical Genomics Provider,Bangalore,Sequoia Capital
Travel information portal,Bangalore,MakeMyTrip
Fitness Marketplace,Mumbai,Exfinity Venture Partners
Online & Mobile classified listings,Mumbai,"AB Kinnevik, Falcon Edge Capital, Coatue Management"
Private Jet/ Helicopter Marketplace,New Delhi,YourWeCan Ventures
Real Estate Broker network App,Gurgaon,Lightspeed India
Ethnic/ Traditional Fashion Store,New Delhi,Indian Angel Network
Used Bikes Marketplace,Mumbai,Fidelity Growth Partners
Spa & Salon Management Software,Hyderabad,Accel Partners
B2B logistics delivery platform,Bangalore,Lightspeed Venture Partners
Logistics Automation Platform,Bangalore,"growX ventures,\\xc2\\xa0 Manish Singhal"
Online Hiring Platform,Bangalore,Varun Agarwal & Others
Online home d\\xc3\\xa9cor marketplace,Mumbai,"Goldman Sachs, Zodius Technology Fund, Bertelsmann India Investments Norwest Venture Partners."
Online Marketplace,Bangalore,Steadview Capital and existing investors
Hyperlocal food & grocery store,Bangalore,"Accel Partners, Traxcn Labs & Others"
Health-Tech platform,Mumbai,"Sandeep Parwal, Krishan Gupta & Others"
Hyperlocal Handyman Services,Mumbai,"IDG Ventures India, Omidyar Network, Sherpalo Ventures,\\xc2\\xa0 Mohandas Pai"
Medical Tech Instruments,New Delhi,"Sachin and Binny Bansal, Malvinder and Shivinder Singh, Gurpreet Singh & others"
Hyperlocal Deals Marketplace,Bangalore,"Paytm, SAIF Partners,\\xc2\\xa0 Tiger Global Management & others"
Innovative Water Solutions,Gurgaon,Abhishek Gupta
Online Jewelry Store,Mumbai,LionRock Capital
Business intelligence & Analytics,Mumbai,SIDBI Venture Capital Ltd
Used Vehicle Marketplace,New Delhi,"Lightbox Ventures, Beenos"
Educational Board Games,Bangalore,"Kunal Bahl, Rohit Bansal"
Chinese food delivery,Mumbai,"Elliot Stechman, Gautam Sinha, Ambarish Ray"
On-Demand Laundry & Dry cleaning App,Chennai,B S Nagesh
On-Demand Car services App,Bangalore,"YouWeCan Ventures,\\xc2\\xa0 Aprameya Radhakrishna"
Hyperlocal Grocery App,Gurgaon,"Jai Choi, Kiyohiro Sugashita, Hirokazu"
Online Curated Holiday package bookings,Bangalore,"Aarin Capital Partners,"
Hasbro Toy Manufacturer,Pune,Oliphabs Capital
Travel Tech,Gurgaon,MakeMyTrip
Beauty and Wellness Platform,New Delhi,Aprameya Radhakrishna
Healthy Food Manufacturer,New Delhi,"DSG Consumer Partners, Saama Capital."
Used Car Marketplace,Mumbai,"Kae Capital, Anupam Mittal"
Online Learning Platform,New Delhi,InfoEdge
Healthy Food Online Community,New Delhi,Group of 15 Angel Investors
Used two-wheeler Marketplace,Mumbai,GrowthStory
Online Fashion Video Portal,Mumbai,"Ventureworks India, Blume Ventures, Batlivala & Karani Securities, Nikunj Jhaveri"
Probiotic Technology Products Manufacturer,Chennai,Infuse Ventures
Architectural Design & Consulting,Hyderabad,Srinivas Tirupati
Big Data & Analytics Services,Pune / US,Carrick Capital Partners
Preventive Healthcare Services,Pune,Mumbai Angels & Other angel investors
Tech-enabled Rural Healthcare Services,Udaipur,Ennovent Impact Investment Holding
Engineering Innovations,Mumbai,Mark Mobius & 9 Other Angel investors
Real Estate Intelligence Platform,Mumbai,DMG Information
Online Car Rental Affiliates,New Delhi,Green House Ventures
Data Center Software platform,Pune / US,Nexus Venture Partners
Online City & Lifestyle Guide,New Delhi,"Rajan Anandan, Niraj Singh, Sachin Bhatia, Singapore Angel Network & Aseem Vadehra"
P2P Payments platform,New Delhi,"Sharad Sharma, Rajan Anandan, Sunil Kalra, Amit Ranjan, Rohan Malhotra,\\xc2\\xa0 Arjun Malhotra, Gautam Gandhi"
Bespoke Merchandize Marketplace,Pune,"Virendra Shahney, Dr Paresh Doshi"
Women Lifestyle Marketplace,Gurgaon,Ratan Tata
Logistics Solution Provider,New Delhi,Warburg Pincus
Video Intelligence Platform,Noida,Bessemer Venture Partners
Hyperlocal Shopping App,Mumbai,"Tiger Global,\\xc2\\xa0 Nirvana Ventures Advisors"
eCommerce platform,Bangalore,Morgan Stanley
Renewable energy solutions,Mumbai,
Healthcare\\nService provider,Bangalore,"Fidelity Growth Partners, Fidelity Biosciences"
Auto Rickshaw Based Services,Chandigarh,"Snow Leopard, Paytm"
Artist / Designer Marketplace,New Delhi,"Natarajan Iyer,Rajesh Sawhney,\\xc2\\xa0 & other Angel investors."
