Category,Location,Investors
Consumer Internet,Bengaluru,"Baskar Subramanian, Saket Kumar, Gaurav Suri and Ankit Kesarwani"
Technology,Indore,InfoEdge
Healthcare,Mumbai,"Ranjan Pai, Apoorva Patni, Beenext Ventures,GrowX Ventures"
Healthcare,Bengaluru,"HDFC Life, HDFC Asset Management"
Consumer Internet,Jaipur,Sequoia Capital
Technology,Noida,"Vertex Ventures, Accel Partners and Saama Capital"
Consumer Internet,Pune,Nexus Venture Partners
Technology,Chennai,Avendus Finance Pvt. Ltd
Consumer Internet,Mumbai,Aegon NV
Consumer Internet,Mumbai,State Street Global Advisors
Consumer Internet,Gurugram,Trifecta Capital
Consumer Internet,Mumbai,HR Fund
Technology,Mumbai,"Actis, Altimeter Capital"
Consumer Internet,Hyderabad,"Venkat Subramanian, Sudhakar Pennam, and other tech investors from Silicon Valley"
Consumer Internet,Bengaluru,"Matrix Partners, Bhavish Aggarwal, Ankit Bhati, Binny Bansal, Kunal Shah and Manish Patel."
Consumer Internet,Gurugram,"SoftBank, Tiger Global and Apoletto Managers."
Consumer Internet,Mumbai,Alteria Capital
Healthcare,Udaipur,"1Crowd, Ankur Capital"
Food & Beverages,Gurugram,"Amit Burman, SIDBI Venture Capital"
Technology,Gurugram,"Pi Ventures, Axilor Ventures"
Consumer Internet,,Micromax Informatics Ltd
Consumer Internet,Pune,"Jessica Wong, Hiro Mashita, Xue Manzi and Yiyun Zhang."
Technology,Chennai,"Insight Venture Partners, Accel Partners and Tiger Global Management."
Consumer Internet,Noida,SucSEED Venture Partners
Technology,Bengaluru,Endiya Partners
Technology,Bengaluru,"Kumar Vembu, Axilor Ventures"
Consumer Internet,Delhi,"Initia Holdings,Vipin Agarwal and others."
Technology,Delhi,
Finance,Bengaluru,"Accion Venture Lab, Unicorn India Ventures and ISME ACE."
Media,Delhi,Ratan Tata
Technology,Bengaluru,Amit Singhal and Unitus Seed Fund
Consumer Internet,Mumbai,"Google, Kae Capital, IIFL, Singularity Ventures, GrowX, Tracxn Labs, Venture Catalyst, Patni family office and Axis Capital."
Consumer Internet,Bengaluru,"Alibaba, Helion Venture Partners, Bessemer Venture Partners, Ascent Capital"
Food and Beverages,Gurugram,Ant Financials
Publishing,Bengaluru,Omidyar Network
